nofinessej;rsej;activite;libactivite;modalite;libmodalite;forme;libforme;noautor;dateautor;nofinesset;rset;noligautor;noligautoranc;noautorarhgos;noimplarhgos;sectpsy;libsectpsy;datemeo;datefin
330000134;SA POLYCLINIQUE BORDEAUX RIVE DROITE;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;01;Gynécologie obstétrique;02;Hospitalisation à temps partiel de jour ou de nuit;752610005;2023-07-18;330780263;POLYCLINIQUE BORDEAUX RIVE DROITE;10005;;75-72-77820;75-72-77820;;;2024-04-30;2031-04-29
330000274;POLYCLINIQUE BX-NORD-AQUITAINE;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;02;Néonatologie sans soins intensifs;01;Hospitalisation complète (24 heures consécutives ou plus);752604562;2000-12-19;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;4562;;75-72-38039;75-72-38039;;;2009-01-19;2026-04-06
330000274;POLYCLINIQUE BX-NORD-AQUITAINE;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;01;Gynécologie obstétrique;01;Hospitalisation complète (24 heures consécutives ou plus);752604563;1999-08-03;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;4563;;75-72-38042;75-72-38042;;;2008-10-07;2026-04-06
330000274;POLYCLINIQUE BX-NORD-AQUITAINE;14;Médecine d'urgence;23;SU Structure des urgences;14;Non saisonnier;752609123;2007-03-20;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;9123;;75-72-42655;75-72-42655;;;2012-02-06;2022-09-20
330000274;POLYCLINIQUE BX-NORD-AQUITAINE;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;01;Gynécologie obstétrique;02;Hospitalisation à temps partiel de jour ou de nuit;752610129;2023-06-26;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;10129;;75-72-77752;75-72-77752;;;2024-12-05;2031-12-04
330796392;PAVILLON DE LA MUTUALITE;14;Médecine d'urgence;26;SMUR Structure mobile d'urgence et de réanimation;14;Non saisonnier;752604601;2007-03-20;330780495;CLINIQUE MUTUALISTE DU MEDOC;4601;;75-72-38382;75-72-38382;;;2007-03-20;2022-09-19
330796392;PAVILLON DE LA MUTUALITE;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;01;Gynécologie obstétrique;01;Hospitalisation complète (24 heures consécutives ou plus);752604609;2000-12-19;330780495;CLINIQUE MUTUALISTE DU MEDOC;4609;;75-72-38454;75-72-38454;;;2012-06-01;2022-11-30
330796392;PAVILLON DE LA MUTUALITE;14;Médecine d'urgence;23;SU Structure des urgences;14;Non saisonnier;752605261;2007-03-20;330780495;CLINIQUE MUTUALISTE DU MEDOC;5261;;75-72-43068;75-72-43068;;;2007-03-20;2022-09-19
330796392;PAVILLON DE LA MUTUALITE;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;42;Hémodialyse en unité médicalisée;00;Pas de forme;752607009;2016-05-12;330780495;CLINIQUE MUTUALISTE DU MEDOC;7009;;75-72-59472;75-72-59472;;;2019-03-01;2026-08-28
330796392;PAVILLON DE LA MUTUALITE;14;Médecine d'urgence;23;SU Structure des urgences;14;Non saisonnier;752605262;2007-03-20;330780529;CLINIQUE MUTUALISTE DE PESSAC;5262;;75-72-43069;75-72-43069;;;2007-03-20;2022-09-19
